scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
115,358.29339027404785,143.75702166557312,1.0,389.27593660354614,127.68407416343689,1.0,440.90380334854126,139.58265161514282,1.0,476.6018273830414,143.0529727935791,1.0
116,358.3455889225006,143.74538898468018,1.0,389.3693447113037,127.62754964828491,1.0,440.73222637176514,139.44927263259888,1.0,476.0912105292082,143.03505873680115,1.0
117,358.3298261165619,143.63302540779114,1.0,389.36910128593445,127.66634941101074,1.0,440.815167427063,139.422513961792,1.0,476.22421103715897,143.1731972694397,1.0
118,358.34905219078064,143.67076420783997,1.0,389.30389952659607,127.67840218544006,1.0,440.8228073120117,139.43963241577148,1.0,476.3866479098797,143.06218004226685,1.0
119,358.27930641174316,143.58663272857666,1.0,389.33997654914856,127.59345197677612,1.0,440.8062210083008,139.47880744934082,1.0,476.40589705109596,143.13622641563416,1.0
120,358.133287191391,143.80018782615662,1.0,389.0921256542206,127.62802004814148,1.0,440.5322527885437,139.463698387146,1.0,475.98922707885504,143.04383897781372,1.0
121,358.07514572143555,143.80694603919983,1.0,389.14172971248627,127.62405633926392,1.0,440.5074782371521,139.43696212768555,1.0,476.32480308413506,143.08267545700073,1.0
122,357.25471591949463,142.95897150039673,1.0,388.9952367544174,127.75821113586426,1.0,440.8019289970398,139.5500192642212,1.0,476.4711919724941,143.18375849723816,1.0
123,356.4108685851097,142.53852200508118,1.0,389.1127882003784,127.47486162185669,1.0,440.8182301521301,139.48685598373413,1.0,476.45690646767616,142.9879183769226,1.0
124,356.33474680781364,141.73863554000854,1.0,389.3220680952072,127.29121232032776,1.0,440.8671410083771,139.66161966323853,1.0,476.26872885227203,143.05544090270996,1.0
125,356.80565148591995,141.53193473815918,1.0,389.261598944664,127.14852619171143,1.0,440.889657497406,139.6201949119568,1.0,476.29343658685684,143.09821319580078,1.0
126,356.710391998291,141.51418113708496,1.0,389.122749209404,127.16345119476318,1.0,440.8096251487732,139.65639877319336,1.0,476.1079295948148,143.269189119339,1.0
127,356.4444934129715,141.23020553588867,1.0,389.3132405281067,127.17094731330872,1.0,440.88505506515503,139.6779341697693,1.0,476.22725504636765,143.10725331306458,1.0
128,356.5901629924774,140.72559356689453,1.0,389.0748997926712,127.22791194915771,1.0,440.75497245788574,139.6268825531006,1.0,476.0990407168865,143.22065615653992,1.0
129,356.3621376156807,139.4360475540161,1.0,389.010134100914,127.12649130821228,1.0,441.12626600265503,139.68274068832397,1.0,476.5464823246002,143.0638942718506,1.0
130,356.44763484597206,138.73803186416626,1.0,388.47632363438606,127.48311138153076,1.0,441.5320897102356,140.03678607940674,1.0,476.87343072891235,143.19090628623962,1.0
131,356.2882480621338,139.08907222747803,1.0,388.43047177791595,127.44044089317322,1.0,441.88711619377136,139.87558603286743,1.0,476.60096591711044,143.31653261184692,1.0
132,355.1607453227043,137.0631136894226,1.0,388.6154270172119,127.34964394569397,1.0,441.71708607673645,139.95102500915527,1.0,476.6157329082489,143.2676486968994,1.0
133,354.12456798553467,135.28356623649597,1.0,388.76072013378143,127.04640483856201,1.0,441.8011064529419,139.94258785247803,1.0,476.7940983772278,143.21869111061096,1.0
134,353.8185682296753,134.5952491760254,1.0,388.6436898112297,127.1642484664917,1.0,441.8854100704193,139.8450059890747,1.0,476.5850877761841,143.17880034446716,1.0
135,353.658109664917,134.25245904922485,1.0,388.5784207582474,127.16625618934631,1.0,441.46528482437134,139.74674344062805,1.0,476.83828818798065,143.19673442840576,1.0
136,353.5176486968994,133.7141728401184,1.0,388.0915555283427,127.18664813041687,1.0,441.6930012702942,139.822533801198,1.0,477.0403448343277,143.22830843925476,1.0
137,352.8343482017517,133.15673220157623,1.0,387.7381400167942,127.29469871520996,1.0,441.93703842163086,139.99910354614258,1.0,477.0143504142761,143.12454056739807,1.0
138,352.49140882492065,132.6788553595543,1.0,387.7433621287346,127.22068977355957,1.0,442.09420573711395,140.05188655853271,1.0,477.23698461055756,143.27688336372375,1.0
139,352.10596323013306,132.01271661929786,1.0,387.86036728322506,127.18419313430786,1.0,442.0270656347275,139.89428281784058,1.0,477.24228835105896,143.2163007259369,1.0
140,352.0429563522339,130.41481983661652,1.0,387.986533081159,126.96440863609314,1.0,441.62799072265625,139.65278807282448,1.0,477.2524645328522,143.2557451725006,1.0
141,352.28869342803955,130.2025933265686,1.0,388.46630078554153,126.62915420532227,1.0,441.8199827671051,139.85534858703613,1.0,477.13029086589813,143.21818923950195,1.0
142,352.7742028236389,131.0826537013054,1.0,388.44601702690125,126.45142602920532,1.0,441.80392241477966,139.84990167617798,1.0,476.9124737381935,143.26061511039734,1.0
143,353.6931290626526,131.4381000995636,1.0,389.2108014822006,126.15012955665588,1.0,441.62346386909485,139.78630113601685,1.0,477.4700003862381,143.0667281150818,1.0
144,353.981153011322,131.2979177236557,1.0,389.53927302360535,126.12552285194397,1.0,441.60888743400574,139.80124521255493,1.0,477.5112143754959,143.1591956615448,1.0
145,353.4106421470642,130.9627913236618,1.0,389.51106083393097,126.18888401985168,1.0,441.8295888900757,139.77425575256348,1.0,477.22892940044403,143.14638757705688,1.0
146,353.2997016906738,131.04242199659348,1.0,389.4945250749588,126.22907710075378,1.0,441.5131890773773,139.80965900421143,1.0,477.21164441108704,143.24183535575867,1.0
147,353.50174713134766,131.0717978477478,1.0,389.3222939968109,126.14568376541138,1.0,441.7202482223511,139.69937801361084,1.0,477.3722540140152,143.05192017555237,1.0
